filename,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
008__[flu][nod][cla]0393__1.wav,0.04138360172510147,1324.1992493875798,1918.8673044643958,1637.105415962838,0.0427406340492278,-380.3376159667969,194.6524200439453,0.8453115224838257,-12.051192283630371,-26.307708740234375,-1.4282571077346802,-24.31415557861328,-6.283201694488525,-30.79877471923828,-28.553661346435547,-16.88861083984375,-7.628513336181641,4.840516567230225,-6.55787467956543,-9.9307279586792,-16.661924362182617,-9.294561386108398,-2.7516698837280273,-2.1659011840820312,1.9320147037506104,flu
008__[flu][nod][cla]0393__2.wav,0.03848252445459366,1123.9741701587993,1591.315078026536,1609.3367293074325,0.03318238718629344,-392.3315124511719,214.48606872558594,-7.058401107788086,-12.224262237548828,-24.811845779418945,-8.26899242401123,-28.910959243774414,-16.00274085998535,-25.053834915161133,-15.766817092895508,-7.407276630401611,-9.103988647460938,-4.731386661529541,-13.547755241394043,-9.173700332641602,-11.763280868530273,-2.9060165882110596,1.5682878494262695,0.22045603394508362,0.9586597681045532,flu
008__[flu][nod][cla]0393__3.wav,0.06883372366428375,1346.8457449687228,1835.863033544246,1725.8987014358108,0.04835492579633205,-326.47576904296875,199.85610961914062,-6.817063331604004,-18.801712036132812,-28.951467514038086,-3.1258256435394287,-23.752925872802734,-8.096672058105469,-33.639225006103516,-31.08452033996582,-17.66871452331543,-4.16103458404541,4.904842853546143,-12.327796936035156,-13.420049667358398,-13.455204010009766,-1.9287251234054565,-0.5204750299453735,-3.9586422443389893,1.7992814779281616,flu
009__[flu][nod][cou_fol]0410__1.wav,0.11067228764295578,3731.857795939385,2916.06300138951,6536.033836570946,0.08334527328667954,-278.265625,34.69023895263672,-115.73190307617188,11.941926002502441,-34.627079010009766,18.916397094726562,8.959393501281738,10.320514678955078,-7.066349983215332,-5.284951210021973,-7.418508052825928,-10.709306716918945,21.71571159362793,19.567367553710938,2.223477363586426,-0.8932542204856873,-6.435684680938721,-7.909176826477051,-0.8248913884162903,5.366472244262695,flu
009__[flu][nod][cou_fol]0410__2.wav,0.1355775147676468,3564.364962854563,2857.7844567948146,6234.31957347973,0.08294748431467182,-271.5541687011719,38.720462799072266,-108.62548065185547,5.9359965324401855,-32.359886169433594,15.63772964477539,7.2792439460754395,5.393723487854004,-10.411615371704102,-5.084322929382324,3.1982762813568115,-0.9441840648651123,17.835960388183594,6.32095193862915,-5.5797834396362305,1.7226409912109375,1.1361891031265259,-4.124919414520264,-1.0886471271514893,4.311994552612305,flu
009__[flu][nod][cou_fol]0410__3.wav,0.13618193566799164,3746.0045823658734,3038.0835605511716,6763.9199746621625,0.08483651061776062,-292.45208740234375,31.250015258789062,-100.01028442382812,8.222312927246094,-28.391639709472656,22.34234046936035,15.564023971557617,7.948432445526123,-11.985057830810547,-8.212821006774902,0.9566193222999573,1.6123631000518799,20.33631134033203,5.282772541046143,-8.447646141052246,1.743475079536438,1.9161412715911865,-3.820028781890869,-0.31269222497940063,3.111480474472046,flu
018__[flu][nod][pop_roc]0421__1.wav,0.1105303093791008,1085.294098774818,1527.1561873739745,1588.8843433277027,0.03135180381274131,-331.5389099121094,186.6558837890625,-15.747920989990234,8.431526184082031,8.678659439086914,0.1757277548313141,10.059355735778809,-1.4825053215026855,3.063000440597534,12.814257621765137,16.024166107177734,20.19896125793457,14.461506843566895,2.745344400405884,-11.064741134643555,-17.430908203125,-8.115220069885254,0.9444721341133118,3.0923569202423096,-2.7922942638397217,flu
018__[flu][nod][pop_roc]0421__2.wav,0.052127838134765625,908.4998037998644,1760.8926663979425,1414.3739442567567,0.016714677847490346,-393.1554260253906,202.43943786621094,7.222883224487305,1.870954990386963,20.917037963867188,18.185302734375,9.346336364746094,8.334866523742676,-0.054128993302583694,4.847827434539795,-0.7590526342391968,2.354705572128296,-1.3402879238128662,-4.806983947753906,-5.776076793670654,-1.1542426347732544,8.154685020446777,7.153397560119629,3.560302734375,-0.5622130632400513,flu
018__[flu][nod][pop_roc]0421__3.wav,0.052923157811164856,1003.7098616509462,1690.3470623702412,1634.7775021114865,0.021701179416023165,-376.8157043457031,204.0657958984375,-5.201217174530029,4.285061359405518,18.077760696411133,9.890447616577148,7.911186695098877,5.114170074462891,-2.002502679824829,3.46174955368042,-1.0096665620803833,7.589231014251709,7.189408302307129,3.3932077884674072,4.7480316162109375,5.129305362701416,3.3408241271972656,-4.920303821563721,-6.018482685089111,-1.8613572120666504,flu
024__[flu][nod][cla]0355__1.wav,0.020460747182369232,1269.3611491291208,1796.036276531942,1874.9683277027027,0.03716781792953668,-451.0609436035156,196.93504333496094,-12.364371299743652,-8.677523612976074,-14.728645324707031,1.1133962869644165,-23.28289794921875,-13.097175598144531,-19.8143367767334,-8.043519020080566,-5.19031286239624,-12.476990699768066,1.524010181427002,1.089777946472168,-2.5850048065185547,-13.878579139709473,-17.77739906311035,-12.365256309509277,-6.229887962341309,0.4048381745815277,flu
024__[flu][nod][cla]0355__2.wav,0.025244351476430893,1795.4475661815225,2236.6467929652567,2573.6750422297296,0.045704256153474905,-429.73321533203125,143.82015991210938,-19.60695457458496,-27.596660614013672,-15.284302711486816,5.295350551605225,-12.457940101623535,-1.5307098627090454,-11.65253734588623,-5.630488872528076,-7.023553371429443,-10.283653259277344,-0.7443517446517944,-1.7352081537246704,-1.334294080734253,2.1638641357421875,6.4673051834106445,5.093538284301758,4.346045970916748,3.5078649520874023,flu
030__[flu][nod][cla]0373__1.wav,0.04883505403995514,1903.336676594178,2381.8982875718775,2342.879011824324,0.04795902208011583,-469.8453674316406,92.39346313476562,-23.503503799438477,-9.021846771240234,-23.79523468017578,11.895992279052734,-8.836195945739746,24.54372215270996,27.56920051574707,29.090618133544922,5.836302757263184,-23.929065704345703,-29.581628799438477,-23.97360610961914,11.314720153808594,24.038225173950195,16.351346969604492,-0.17679575085639954,-3.8639514446258545,-2.982663869857788,flu
