filename,labels
(02) dont kill the whale-1.txt,['gel']
(02) dont kill the whale-11.txt,['gel']
(02) dont kill the whale-12.txt,"['gel', 'voi']"
(02) dont kill the whale-13.txt,"['gel', 'voi']"
(02) dont kill the whale-14.txt,"['gel', 'voi']"
(02) dont kill the whale-15.txt,"['gel', 'pia']"
(02) dont kill the whale-2.txt,"['gel', 'voi']"
(02) dont kill the whale-3.txt,"['gel', 'voi']"
(02) dont kill the whale-4.txt,['gel']
(02) dont kill the whale-6.txt,"['gel', 'voi']"
(02) dont kill the whale-8.txt,['gel']
(02) dont kill the whale-9.txt,"['gel', 'pia']"
00 - gold fronts-1.txt,['voi']
00 - gold fronts-10.txt,['gel']
00 - gold fronts-12.txt,"['pia', 'voi']"
00 - gold fronts-13.txt,"['gac', 'voi']"
00 - gold fronts-2.txt,"['gel', 'voi']"
00 - gold fronts-3.txt,"['gel', 'voi']"
00 - gold fronts-4.txt,"['gel', 'voi']"
00 - gold fronts-5.txt,"['gel', 'voi']"
00 - gold fronts-7.txt,"['gel', 'voi']"
00 - gold fronts-8.txt,"['gel', 'voi']"
00 - yazoo - dont go-3.txt,['voi']
00 - yazoo - dont go-4.txt,['voi']
00 - yazoo - dont go-5.txt,['voi']
00 - yazoo - dont go-8.txt,['voi']
00 - yazoo - dont go-9.txt,['voi']
01 - 999-1.txt,['gel']
01 - 999-10.txt,"['gel', 'voi']"
01 - 999-11.txt,"['gel', 'org', 'voi']"
01 - 999-12.txt,"['gel', 'voi']"
01 - 999-13.txt,"['gel', 'voi']"
01 - 999-15.txt,"['gel', 'org', 'voi']"
01 - 999-17.txt,"['gel', 'voi']"
01 - 999-18.txt,"['gel', 'voi']"
01 - 999-2.txt,"['gel', 'voi']"
01 - 999-20.txt,"['gel', 'org', 'voi']"
01 - 999-4.txt,"['gel', 'voi']"
01 - 999-5.txt,"['gel', 'org', 'voi']"
01 - 999-6.txt,"['gel', 'voi']"
01 - 999-8.txt,"['gel', 'org', 'voi']"
01 - Airdrop-10.txt,['gel']
01 - Airdrop-2.txt,['gel']
01 - Airdrop-3.txt,"['gel', 'voi']"
01 - Airdrop-4.txt,"['cel', 'gel']"
01 - Airdrop-6.txt,"['gel', 'voi']"
01 - Airdrop-8.txt,['gel']
01 - Airdrop-9.txt,['gel']
01 - Canto das tre╠és rac╠ºas-10.txt,"['gac', 'voi']"
01 - Canto das tre╠és rac╠ºas-11.txt,"['gac', 'voi']"
01 - Canto das tre╠és rac╠ºas-12.txt,"['gac', 'voi']"
01 - Canto das tre╠és rac╠ºas-13.txt,"['gac', 'voi']"
01 - Canto das tre╠és rac╠ºas-14.txt,"['gac', 'voi']"
01 - Canto das tre╠és rac╠ºas-2.txt,"['gac', 'voi']"
01 - Canto das tre╠és rac╠ºas-3.txt,"['gac', 'voi']"
01 - Canto das tre╠és rac╠ºas-4.txt,"['gac', 'voi']"
01 - Canto das tre╠és rac╠ºas-5.txt,"['gac', 'voi']"
01 - Canto das tre╠és rac╠ºas-6.txt,"['gac', 'voi']"
01 - Canto das tre╠és rac╠ºas-8.txt,['voi']
01 - Canto das tre╠és rac╠ºas-9.txt,"['gac', 'voi']"
01 - Chet Baker - Prayer For The Newborn-1.txt,"['sax', 'tru']"
01 - Chet Baker - Prayer For The Newborn-11.txt,['pia']
01 - Chet Baker - Prayer For The Newborn-12.txt,['pia']
01 - Chet Baker - Prayer For The Newborn-14.txt,"['pia', 'tru']"
01 - Chet Baker - Prayer For The Newborn-15.txt,"['pia', 'tru']"
01 - Chet Baker - Prayer For The Newborn-17.txt,['pia']
01 - Chet Baker - Prayer For The Newborn-18.txt,['pia']
01 - Chet Baker - Prayer For The Newborn-2.txt,"['pia', 'sax', 'tru']"
01 - Chet Baker - Prayer For The Newborn-20.txt,"['pia', 'tru']"
01 - Chet Baker - Prayer For The Newborn-21.txt,"['pia', 'sax', 'tru']"
01 - Chet Baker - Prayer For The Newborn-22.txt,"['pia', 'sax', 'tru']"
01 - Chet Baker - Prayer For The Newborn-24.txt,"['sax', 'tru']"
01 - Chet Baker - Prayer For The Newborn-3.txt,"['pia', 'sax', 'tru']"
01 - Chet Baker - Prayer For The Newborn-5.txt,"['pia', 'sax']"
01 - Chet Baker - Prayer For The Newborn-6.txt,"['pia', 'sax']"
01 - Chet Baker - Prayer For The Newborn-8.txt,"['pia', 'tru']"
01 - Chet Baker - Prayer For The Newborn-9.txt,"['pia', 'tru']"
01 - Da Duh Dah-1.txt,['pia']
01 - Da Duh Dah-10.txt,['pia']
01 - Da Duh Dah-11.txt,['pia']
01 - Da Duh Dah-13.txt,"['pia', 'sax', 'tru']"
01 - Da Duh Dah-15.txt,"['sax', 'tru']"
01 - Da Duh Dah-18.txt,"['pia', 'sax', 'tru']"
01 - Da Duh Dah-2.txt,"['pia', 'sax', 'tru']"
01 - Da Duh Dah-4.txt,"['pia', 'tru']"
01 - Da Duh Dah-5.txt,"['pia', 'tru']"
01 - Da Duh Dah-7.txt,"['pia', 'sax']"
01 - Da Duh Dah-8.txt,"['pia', 'sax']"
01 - Hilary Hahnn_BWV 1042 - I. AllegroA-15.txt,['vio']
01 - Honky Cat-1.txt,['pia']
01 - Honky Cat-10.txt,"['pia', 'voi']"
01 - Honky Cat-11.txt,"['pia', 'voi']"
01 - Honky Cat-12.txt,['pia']
01 - Honky Cat-14.txt,"['pia', 'voi']"
01 - Honky Cat-15.txt,"['pia', 'voi']"
01 - Honky Cat-16.txt,"['pia', 'voi']"
01 - Honky Cat-18.txt,"['pia', 'voi']"
01 - Honky Cat-19.txt,"['pia', 'voi']"
01 - Honky Cat-2.txt,"['pia', 'voi']"
01 - Honky Cat-20.txt,"['pia', 'voi']"
01 - Honky Cat-21.txt,"['pia', 'voi']"
01 - Honky Cat-22.txt,"['pia', 'voi']"
01 - Honky Cat-23.txt,"['pia', 'voi']"
01 - Honky Cat-24.txt,['pia']
01 - Honky Cat-25.txt,['pia']
01 - Honky Cat-26.txt,['pia']
01 - Honky Cat-27.txt,['pia']
01 - Honky Cat-28.txt,['pia']
01 - Honky Cat-29.txt,['pia']
01 - Honky Cat-30.txt,"['pia', 'voi']"
01 - Honky Cat-31.txt,"['pia', 'voi']"
01 - Honky Cat-32.txt,['pia']
01 - Honky Cat-4.txt,"['pia', 'voi']"
01 - Honky Cat-5.txt,"['pia', 'voi']"
01 - Honky Cat-6.txt,"['pia', 'voi']"
01 - Honky Cat-7.txt,"['pia', 'voi']"
01 - Honky Cat-8.txt,"['pia', 'voi']"
01 - Inolvidable-1.txt,['pia']
01 - Inolvidable-10.txt,"['pia', 'voi']"
01 - Inolvidable-11.txt,"['pia', 'voi']"
01 - Inolvidable-12.txt,['voi']
01 - Inolvidable-13.txt,"['pia', 'voi']"
01 - Inolvidable-2.txt,"['pia', 'voi']"
01 - Inolvidable-3.txt,"['pia', 'voi']"
