,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
272,1.0318669107018417,-0.7606905600324185,-0.5192363999322722,-0.7179608190940145,-0.9492909242188001,0.42209022975992855,0.4455253967195122,0.06460059613967581,0.38173214666704425,0.08633063297816086,-0.2651048683387667,-1.422477672660927,-0.9991474648042077,-1.4655589179580866,-2.4265919076841627,-1.8644995389173926,-0.9867322930934258,0.7773019346611909,-0.3471558462435316,0.48191654633567194,-0.4966361241043081,0.20327814542671974,-0.5661962640901027,-2.3929211214845876,-2.0974767886928154
1556,1.4167040078387227,1.2787202013351393,1.1296315129883119,1.3291250072012926,0.7191981283736916,1.5936469802592494,-0.9472373033185634,-0.4710659859808646,1.261544141544235,-0.798565630410155,1.1415162610613176,-1.0623281179488189,0.9624076987257189,-1.1035945734124273,0.145518027520906,-0.7332135496072334,-0.22083047946072057,0.04966832423397772,-0.09055665019490908,0.27302594845753647,-0.280481339961382,0.07802094574057347,-0.00957656866073828,1.1239180420198565,-0.3398129848380367
521,0.38707537339160725,-0.7170716044836662,-0.6531132964939318,-0.7407656856368063,-0.9434719668161307,-0.3177839233947199,-0.45331297264014997,0.08442545746920502,-1.3136529324283077,-0.02754077452112938,-0.629172793688654,-0.5583924928455487,-1.9719793586005165,-1.016371830213657,-1.0835819568273126,-1.6237932346939983,-1.0974561462129202,-0.538858282868201,-1.4881960418300817,-1.6559276071865874,-0.5391996981930656,-0.7343265705991121,-0.8493359092306042,0.7129841914192104,2.9207519080636817
522,-1.1407243510688216,-0.9957201892337363,-1.095236176183799,-1.056116654785515,-0.6934895567973892,-1.8290965096629603,0.4027090657495492,0.8080065906455804,-0.9693431797907521,0.2841884358779585,-1.267474588411341,-1.4192334589049818,-1.9008264039035943,-0.9023290275421469,-2.057337959979466,-0.1314554376230641,1.1253433478945443,0.44736059112543247,0.40336346751386937,0.16633865721633062,-1.2325056578024012,-1.7484087845666372,-1.5480010104613366,-1.7547505048818661,-0.6014311069169586
3256,-0.44461947794599377,-1.0191459479023408,-0.7564441561145808,-1.0774477374360856,-0.8005583730065332,-0.7289059512317958,0.24342888078247996,1.417751758812244,-0.9673418013123101,0.31004664723653813,-0.40512804971327754,0.4191466073998697,-1.0774962521151703,0.9581918875880089,0.4043150113313655,0.8023909960703258,0.5878147642259146,0.9054980041225028,1.5821405885190274,0.9018464390353226,-0.20386011955965364,-0.2920811625765436,-0.7673549612176387,-0.5112707909677449,-0.14815703992107213
350,-0.7341353725262909,-0.12673215019125394,-0.7029673055828355,-0.41129741815208354,0.48372431881227695,-0.5831849640441512,-0.13132132016741385,-1.3723881564722165,-1.3222497042978199,-0.6522100478830954,-1.2357421884962374,0.39103819195067197,-1.0254237133694322,-0.29552617214195714,-1.0230832771289098,-1.429793345147971,0.39275480416876907,0.6260640688331525,0.6210125778306539,-0.5898494817518216,-1.0319754680394586,-3.0141744718950565,-2.6863784172996734,-1.10115249847448,-0.31787097118267477
1406,-0.9433554361601006,-0.7392034265671003,-0.988688724722629,-0.9355766459164723,-0.6057396791651146,-2.0933353367694987,-1.638690260213393,-0.17725477402910242,-2.0020687554159484,-0.4256158416075382,-0.3469115260691501,-0.44977407372469896,-2.3661791804236136,-0.31741338198330726,-0.46269087956404303,1.5799096369400023,4.642967339271477,6.532394334820569,5.509068311332086,4.009820384866713,0.9357168858318339,-1.738256478330535,-2.1901010876115095,-1.5383592904215881,0.3195059378123517
1616,-1.0650557943276475,-0.4541199107870413,-0.28085275787789604,-0.46993850354783423,-0.8361703923108804,-1.9329720196353515,-0.8043586819029024,0.9621487016882562,-1.1037285276903142,-0.08808694389814525,-0.27533983636898096,-0.13378047080894218,-0.9583893000439021,0.4600869242547772,-0.9255052014399143,-1.6300702086400936,-1.1908826574536704,-0.5289508879501003,1.0341980337051995,2.867357581434927,3.2988144313299657,3.0235332241483257,2.782252520478435,1.3485319485347451,0.08429152632600094
3655,-0.5750314048269132,0.0859020441576871,-0.19127770066758887,-0.11448509901605243,0.01355256067647168,0.011092050539508982,-0.17331924444095645,-1.2035231696436663,0.1273413376029856,-0.06527737554680803,0.42310755021915325,0.38068309739209055,0.9266652901772353,0.4625034054682126,0.0483267768274267,0.8551168552184842,0.06943681164101184,0.21394523043251268,-0.095788552925837,-0.12676942854219359,0.5059479566734302,0.5172719391812828,0.15716881593368207,0.2552535795208031,-1.0672297938004744
3395,-1.0826937231383782,-1.387793826997457,-1.4494406215615472,-1.2235074779125383,-1.1143165561585449,-1.6910803160904058,2.075525337139103,1.5541983626852456,-1.9078375865468544,0.52916345922334,-0.005116894004257467,-0.0287046194509151,-1.4891213978285711,-0.794657402238829,-1.1700670930876322,-0.7719090057922501,-1.0811731221169385,-0.6101054645354727,-0.4266828095381745,-0.4864829262985235,-0.5028986465534219,-0.65134267820504,-0.5629511311853964,-0.562443619595237,0.5529672883913668
